7.0,3.2,4.7,1.4,1
6.3,3.3,6.0,2.5,2
5.5,2.4,3.8,1.1,1
6.7,3.1,4.7,1.5,1
4.9,2.4,3.3,1.0,1
6.7,3.0,5.2,2.3,2
5.6,2.8,4.9,2.0,2
5.0,3.6,1.4,0.2,0
5.4,3.9,1.7,0.4,0
5.0,3.2,1.2,0.2,0
5.4,3.7,1.5,0.2,0
6.0,3.0,4.8,1.8,2
7.7,2.8,6.7,2.0,2
6.7,3.0,5.0,1.7,1
6.3,2.7,4.9,1.8,2
4.4,3.2,1.3,0.2,0
4.7,3.2,1.6,0.2,0
5.5,4.2,1.4,0.2,0
5.4,3.4,1.7,0.2,0
5.2,4.1,1.5,0.1,0
5.6,3.0,4.5,1.5,1
6.3,2.9,5.6,1.8,2
7.2,3.2,6.0,1.8,2
4.3,3.0,1.1,0.1,0
6.9,3.1,5.1,2.3,2
6.5,3.0,5.2,2.0,2
4.4,3.0,1.3,0.2,0
5.8,2.7,5.1,1.9,2
5.2,2.7,3.9,1.4,1
6.2,2.9,4.3,1.3,1
