5.4,3.4,1.5,0.4,0
5.1,3.5,1.4,0.3,0
5.0,3.0,1.6,0.2,0
6.9,3.2,5.7,2.3,2
5.1,2.5,3.0,1.1,1
4.8,3.0,1.4,0.3,0
5.0,3.3,1.4,0.2,0
6.5,2.8,4.6,1.5,1
5.1,3.8,1.9,0.4,0
5.6,2.7,4.2,1.3,1
5.0,3.5,1.6,0.6,0
6.1,2.8,4.7,1.2,1
6.3,2.3,4.4,1.3,1
4.6,3.1,1.5,0.2,0
6.8,3.0,5.5,2.1,2
5.4,3.9,1.3,0.4,0
6.2,2.2,4.5,1.5,1
6.3,2.8,5.1,1.5,2
5.1,3.8,1.6,0.2,0
4.8,3.0,1.4,0.1,0
7.2,3.0,5.8,1.6,2
6.0,2.9,4.5,1.5,1
6.0,2.2,4.0,1.0,1
5.7,2.9,4.2,1.3,1
6.2,3.4,5.4,2.3,2
7.7,3.8,6.7,2.2,2
5.2,3.4,1.4,0.2,0
6.3,3.4,5.6,2.4,2
5.7,2.8,4.1,1.3,1
5.8,2.8,5.1,2.4,2
