test1,test2,test3,test4,test5,test
2,2,2,2,0,2
6,6,6,6,0,6
4,4,4,4,0,4
5,5,5,5,0,5
3,3,3,5,0,8
3,3,3,3,0,3
1,1,1,1,0,1
5,5,5,5,0,5
1,1,1,1,0,1
9,9,7,7,0,9
1,2,2,2,0,2
7,7,7,7,0,7
9,9,9,4,0,4
4,4,4,4,0,4
4,5,2,9,0,4
5,8,8,8,0,8
1,1,1,1,0,1
5,5,2,5,0,5
4,5,2,2,0,8
9,9,7,9,0,9
9,9,5,9,0,5
6,6,6,6,0,6
7,7,7,7,0,7
9,9,9,9,0,9
4,9,9,9,0,9
5,0,3,3,0,3
7,7,7,7,0,7
0,0,0,0,0,0
9,9,9,9,0,9
0,0,0,0,0,0
6,6,6,8,0,6
6,6,6,6,0,6
2,2,2,2,0,2
3,3,3,3,0,3
4,7,4,9,0,9
0,0,0,0,0,0
7,9,7,7,0,7
4,5,5,5,0,5
4,9,4,4,0,4
8,5,8,8,0,8
0,0,0,5,0,0
9,9,9,9,0,9
4,4,9,4,0,4
1,1,1,1,0,1
9,1,3,2,0,2
8,8,8,8,0,8
7,0,0,7,0,7
1,1,1,1,0,1
4,4,2,2,0,2
6,6,6,6,0,6
1,1,1,1,0,1
0,0,0,0,0,0
2,2,3,5,0,3
0,0,0,0,0,0
1,1,1,1,0,1
1,1,1,1,0,1
8,8,8,8,0,8
5,2,2,2,0,2
0,0,0,0,0,0
9,9,9,9,0,3
7,9,9,9,0,9
4,4,4,4,0,4
0,0,0,5,0,0
5,5,2,8,0,5
0,0,0,5,0,0
6,6,6,6,0,6
1,1,1,1,0,1
7,7,7,7,0,7
0,0,0,7,0,7
8,8,8,8,0,8
1,5,1,9,0,1
9,9,7,7,0,9
1,1,1,1,0,2
0,0,0,0,0,0
5,5,5,5,0,5
1,8,1,1,0,1
4,2,2,2,0,2
2,2,2,2,0,2
7,7,7,7,0,7
3,3,3,3,0,3
9,8,5,8,0,5
4,4,4,4,0,4
9,9,9,9,0,9
7,7,3,7,0,7
1,1,1,1,0,1
8,5,8,8,0,8
3,2,3,5,0,3
7,7,8,9,0,9
4,2,6,4,0,6
0,0,0,5,0,0
3,3,3,3,0,3
8,4,8,2,0,1
1,1,1,1,0,1
2,2,2,2,0,2
0,0,0,0,0,6
3,3,3,3,0,3
6,5,5,8,0,5
5,7,2,2,0,7
6,6,6,6,0,6
8,8,8,8,0,8
