test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test
0.010018829256296158,0.8738837838172913,0.48874521255493164,0.49058449268341064,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1116570308804512,0.3306669294834137,0.6354771852493286,0.5711275935173035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9997325539588928,0.6907225251197815,0.40637463331222534,0.5599842667579651,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01789090782403946,0.8310815691947937,0.40632298588752747,0.4864531457424164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9661606550216675,0.2552817165851593,0.593540370464325,0.5624008774757385,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.000163057615282014,0.9478949904441833,0.7616865634918213,0.4866931438446045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9996894598007202,0.2510412931442261,0.6549671292304993,0.487142413854599,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.491805379482685e-06,0.9928497076034546,0.40921100974082947,0.5837500691413879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14170438051223755,0.9447623491287231,0.6632699370384216,0.5375145673751831,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9998183846473694,0.318917840719223,0.5157838463783264,0.5563753247261047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8210012316703796,0.09689656645059586,0.40944188833236694,0.4872414469718933,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9993748068809509,0.11640743166208267,0.5936359763145447,0.580237090587616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8984465599060059,0.961530327796936,0.5242264270782471,0.5473395586013794,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.999859094619751,0.22730907797813416,0.5920616984367371,0.5088270902633667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9509259345795726e-06,0.20457573235034943,0.3924393355846405,0.48724743723869324,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9673813581466675,0.7824196815490723,0.6464745402336121,0.484450101852417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.058428021380678e-05,0.2749173939228058,0.46846964955329895,0.4869508147239685,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.405580047110561e-06,0.9009614586830139,0.4997085928916931,0.6218416690826416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004334933590143919,0.8342651724815369,0.743964672088623,0.48596978187561035,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9994736313819885,0.2741801142692566,0.43768998980522156,0.4859674572944641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9999430179595947,0.9525983929634094,0.41435593366622925,0.48753055930137634,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8463037610054016,0.09673208743333817,0.6543231010437012,0.48614105582237244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.689210145324978e-08,0.2359006106853485,0.6275254487991333,0.5455241203308105,0.0,0.0,0.0,0.0,0.0,0.0,1.0
