test1,test2,test3,test4,test5,test
7,7,7,7,7,3
5,7,8,9,8,9
9,8,5,8,3,5
8,5,8,1,8,8
3,3,3,5,3,5
7,7,7,7,7,7
7,2,6,7,0,6
1,8,1,1,1,1
1,8,1,1,1,1
5,7,8,4,8,3
1,1,1,1,1,1
5,7,8,2,8,7
9,9,3,7,7,5
5,5,5,5,5,5
3,5,3,3,3,5
2,2,2,2,2,2
4,4,5,5,0,5
8,5,6,8,8,8
7,7,7,7,7,7
0,0,0,0,0,0
4,9,9,9,9,9
7,7,7,7,7,7
7,7,7,7,7,7
5,5,3,8,5,5
0,0,0,0,0,0
9,9,7,7,9,9
0,0,0,5,0,0
4,5,2,4,5,0
4,2,2,5,9,8
4,7,8,9,8,9
2,2,2,2,2,2
4,4,4,4,4,4
9,8,9,9,9,8
5,4,8,2,8,1
6,6,6,4,6,6
8,4,8,2,8,1
6,6,6,6,6,6
5,5,5,5,5,5
1,1,1,1,1,1
8,8,5,8,8,8
9,9,8,9,3,3
4,4,4,4,4,4
0,0,0,8,0,0
5,5,5,5,5,5
3,3,3,3,3,5
8,8,8,8,8,8
3,5,3,3,2,3
4,6,6,6,6,6
2,2,3,3,3,2
5,3,3,3,3,3
4,9,9,9,9,9
5,5,3,2,2,2
1,1,1,1,1,1
1,8,1,1,1,1
0,0,5,5,0,5
4,4,2,2,2,2
1,1,1,1,1,1
5,3,3,3,3,3
4,2,2,5,8,2
5,5,8,8,8,8
9,7,1,1,1,7
5,5,3,3,8,3
7,7,7,7,7,7
5,5,2,2,2,2
4,4,4,4,4,4
6,6,6,6,6,6
9,9,9,9,9,9
7,7,7,7,7,7
2,7,2,2,2,2
4,4,5,4,4,4
2,2,2,7,7,2
8,8,8,8,8,8
1,1,1,1,1,1
1,8,1,1,1,1
1,1,1,1,1,3
8,8,8,8,8,8
9,9,9,9,9,4
0,0,0,0,0,0
6,6,6,9,6,6
5,5,5,5,5,5
9,9,9,9,9,9
5,3,3,3,3,3
0,0,0,0,0,0
9,7,1,9,8,9
6,6,6,4,2,2
4,4,4,4,4,4
7,7,7,7,7,7
5,8,8,8,8,1
1,8,1,1,1,2
4,7,8,7,9,9
4,9,9,4,4,4
5,2,2,2,0,2
4,2,6,4,4,6
1,8,1,1,1,1
3,8,3,8,3,8
9,7,1,7,9,9
0,0,0,5,0,0
6,6,6,8,6,6
6,6,6,6,6,6
7,7,7,7,7,7
