A,B,C,D,E,F,G,H,I,class_label
37.0,0.0,76.0,0.0,36.0,2.0,38.0,39.0,2.0,6.0
37.0,0.0,81.0,0.0,28.0,-7.0,44.0,52.0,8.0,1.0
37.0,0.0,106.0,0.0,36.0,0.0,69.0,70.0,2.0,2.0
56.0,-3.0,96.0,0.0,56.0,0.0,40.0,39.0,0.0,3.0
43.0,0.0,79.0,6.0,42.0,0.0,37.0,38.0,2.0,4.0
43.0,-2.0,86.0,0.0,42.0,-6.0,43.0,45.0,2.0,5.0
102.0,1.0,103.0,4.0,70.0,0.0,1.0,33.0,32.0,4.0
108.0,-1.0,109.0,0.0,72.0,8.0,1.0,36.0,36.0,4.0
84.0,0.0,88.0,0.0,6.0,0.0,5.0,83.0,78.0,4.0
102.0,3.0,102.0,0.0,70.0,0.0,1.0,33.0,32.0,4.0
102.0,0.0,103.0,0.0,70.0,-16.0,1.0,33.0,32.0,4.0
106.0,2.0,107.0,1.0,70.0,0.0,1.0,37.0,36.0,4.0
76.0,0.0,81.0,0.0,-42.0,-2.0,5.0,125.0,120.0,4.0
85.0,-2.0,89.0,0.0,2.0,0.0,4.0,86.0,82.0,4.0
105.0,-2.0,106.0,0.0,72.0,4.0,1.0,34.0,32.0,4.0
77.0,6.0,81.0,0.0,-42.0,-22.0,4.0,125.0,122.0,4.0
79.0,0.0,84.0,5.0,-38.0,0.0,4.0,123.0,118.0,4.0
82.0,-2.0,86.0,-1.0,-4.0,-8.0,3.0,91.0,88.0,4.0
81.0,-2.0,84.0,0.0,-20.0,29.0,4.0,105.0,102.0,4.0
81.0,-5.0,86.0,0.0,-22.0,0.0,4.0,109.0,104.0,4.0
102.0,0.0,103.0,0.0,70.0,-24.0,1.0,33.0,32.0,4.0
81.0,0.0,86.0,0.0,-40.0,6.0,4.0,127.0,122.0,4.0
56.0,0.0,76.0,0.0,-4.0,797.0,20.0,81.0,62.0,3.0
80.0,0.0,84.0,-3.0,-20.0,0.0,4.0,105.0,100.0,4.0
84.0,0.0,88.0,0.0,-2.0,-17.0,3.0,90.0,88.0,4.0
78.0,1.0,82.0,2.0,-42.0,0.0,4.0,126.0,122.0,4.0
82.0,0.0,86.0,0.0,-40.0,4.0,4.0,128.0,124.0,4.0
81.0,0.0,84.0,-7.0,-14.0,0.0,3.0,99.0,96.0,4.0
102.0,0.0,103.0,0.0,72.0,16.0,1.0,31.0,30.0,4.0
104.0,2.0,106.0,3.0,72.0,2.0,1.0,33.0,32.0,4.0
85.0,0.0,88.0,-9.0,0.0,0.0,3.0,88.0,84.0,4.0
82.0,0.0,86.0,0.0,-40.0,13.0,4.0,128.0,124.0,4.0
71.0,-9.0,76.0,-11.0,-40.0,5.0,4.0,117.0,112.0,4.0
102.0,0.0,103.0,5.0,70.0,-1.0,1.0,33.0,32.0,4.0
105.0,3.0,106.0,1.0,72.0,31.0,1.0,33.0,32.0,4.0
85.0,0.0,88.0,4.0,6.0,2.0,3.0,83.0,80.0,4.0
101.0,0.0,102.0,0.0,72.0,10.0,1.0,30.0,28.0,4.0
79.0,0.0,83.0,0.0,-32.0,9.0,4.0,117.0,112.0,4.0
84.0,1.0,88.0,3.0,0.0,0.0,3.0,88.0,84.0,4.0
83.0,0.0,86.0,0.0,-4.0,-3.0,3.0,92.0,88.0,4.0
81.0,0.0,84.0,0.0,-12.0,16.0,3.0,97.0,94.0,4.0
81.0,0.0,85.0,0.0,-24.0,-4.0,4.0,111.0,108.0,4.0
105.0,-1.0,106.0,0.0,72.0,3.0,1.0,34.0,32.0,4.0
80.0,-1.0,84.0,-6.0,-36.0,0.0,4.0,120.0,116.0,4.0
85.0,0.0,88.0,-7.0,6.0,4.0,3.0,83.0,80.0,4.0
102.0,-3.0,103.0,0.0,72.0,23.0,1.0,31.0,30.0,4.0
81.0,-1.0,84.0,0.0,-14.0,0.0,4.0,100.0,96.0,4.0
84.0,1.0,86.0,-4.0,-4.0,0.0,3.0,92.0,88.0,4.0
85.0,0.0,88.0,-5.0,2.0,-11.0,3.0,86.0,82.0,4.0
96.0,-27.0,107.0,0.0,68.0,-24.0,11.0,40.0,30.0,2.0
85.0,0.0,88.0,0.0,2.0,-17.0,3.0,86.0,82.0,4.0
47.0,-38.0,89.0,4.0,6.0,-7.0,42.0,84.0,42.0,2.0
48.0,-51.0,89.0,8.0,6.0,-13.0,41.0,84.0,44.0,2.0
102.0,0.0,103.0,0.0,70.0,-27.0,1.0,33.0,32.0,4.0
84.0,0.0,88.0,0.0,6.0,-1.0,4.0,83.0,78.0,4.0
81.0,0.0,85.0,0.0,-40.0,7.0,4.0,126.0,122.0,4.0
44.0,-36.0,79.0,3.0,0.0,0.0,35.0,79.0,44.0,2.0
80.0,0.0,84.0,-6.0,-20.0,1.0,4.0,105.0,100.0,4.0
102.0,0.0,103.0,0.0,70.0,-23.0,1.0,33.0,32.0,4.0
105.0,2.0,106.0,0.0,70.0,0.0,1.0,36.0,36.0,4.0
83.0,0.0,86.0,0.0,-6.0,-2.0,3.0,94.0,90.0,4.0
102.0,2.0,103.0,0.0,72.0,18.0,1.0,31.0,30.0,4.0
78.0,1.0,82.0,0.0,-42.0,0.0,4.0,126.0,122.0,4.0
82.0,1.0,86.0,1.0,-40.0,2.0,5.0,128.0,124.0,4.0
77.0,0.0,81.0,-7.0,-40.0,0.0,4.0,122.0,118.0,4.0
102.0,2.0,103.0,0.0,70.0,-10.0,1.0,33.0,32.0,4.0
102.0,1.0,103.0,1.0,70.0,-6.0,1.0,33.0,32.0,4.0
85.0,0.0,88.0,7.0,0.0,0.0,3.0,88.0,84.0,4.0
45.0,-42.0,91.0,0.0,2.0,0.0,46.0,88.0,42.0,2.0
86.0,4.0,89.0,0.0,2.0,-5.0,3.0,86.0,84.0,4.0
