A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,class_label
1.0,1.0,39.2,88.0,58.0,4.0,4.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
1.0,9.0,39.2,146.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,6.5,2.0,0.0,1.0
2.0,1.0,36.1,88.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,4.0,45.0,7.0,3.0,4.8,0.0
2.0,1.0,38.0,44.0,12.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,6.5,1.0,4.0,33.0,6.5,0.0,0.0,0.0
1.0,1.0,0.0,100.0,30.0,3.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,0.0,4.0,4.0,52.0,6.6,0.0,0.0,1.0
2.0,1.0,37.2,84.0,48.0,3.0,3.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,73.0,5.5,2.0,4.1,0.0
1.0,1.0,39.2,88.0,20.0,0.0,0.0,4.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,50.0,85.0,2.0,2.0,0.0
1.0,1.0,38.4,104.0,40.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,6.5,0.0,4.0,55.0,8.5,0.0,0.0,1.0
1.0,1.0,38.5,86.0,0.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0,3.0,5.0,45.0,7.4,1.0,3.4,0.0
1.0,1.0,0.0,60.0,48.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,58.0,7.6,0.0,0.0,0.0
1.0,1.0,38.1,52.0,24.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,7.0,1.0,0.0,54.0,7.5,2.0,2.6,0.0
1.0,1.0,38.2,72.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.4,0.0,0.0,1.0
2.0,1.0,39.4,110.0,35.0,4.0,3.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,8.7,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.7,0.0,0.0,1.0
1.0,1.0,0.0,120.0,0.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,5.0,52.0,67.0,2.0,2.0,0.0
1.0,1.0,38.1,70.0,22.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,65.0,0.0,0.0,0.0
2.0,9.0,0.0,100.0,44.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,37.0,4.7,0.0,0.0,1.0
2.0,1.0,38.8,48.0,40.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,5.0,41.0,65.0,0.0,0.0,1.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,38.1,66.0,12.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,5.0,44.0,6.0,2.0,3.6,1.0
1.0,1.0,37.5,48.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,41.0,55.0,3.0,2.0,0.0
