A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,class_label
1.0,1.0,36.4,98.0,35.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0,47.0,6.4,3.0,3.6,0.0
1.0,1.0,37.5,60.0,50.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.5,3.0,4.0,35.0,6.5,0.0,0.0,0.0
2.0,1.0,40.0,78.0,0.0,3.0,3.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,1.0,66.0,6.5,0.0,0.0,0.0
1.0,1.0,37.1,84.0,40.0,3.0,3.0,6.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,75.0,81.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,0.0,4.0,5.0,46.0,5.9,0.0,0.0,0.0
1.0,1.0,37.7,120.0,28.0,3.0,3.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,65.0,7.0,3.0,0.0,0.0
1.0,1.0,37.2,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,36.0,62.0,1.0,1.0,0.0
1.0,1.0,38.1,88.0,24.0,3.0,3.0,4.0,1.0,5.0,4.0,3.0,2.0,1.0,0.0,3.0,4.0,41.0,4.6,0.0,0.0,0.0
1.0,1.0,0.0,64.0,36.0,2.0,0.0,2.0,1.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,42.0,7.7,0.0,0.0,0.0
2.0,1.0,37.2,72.0,24.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,0.0,4.0,4.0,44.0,0.0,3.0,3.3,0.0
1.0,1.0,36.8,60.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.0,1.0,37.8,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,38.7,96.0,28.0,3.0,3.0,4.0,1.0,0.0,4.0,0.0,0.0,3.0,7.5,0.0,0.0,64.0,9.0,0.0,0.0,0.0
2.0,1.0,38.5,100.0,0.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,2.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,39.7,100.0,0.0,3.0,3.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,57.0,2.0,2.0,0.0
2.0,1.0,38.5,60.0,20.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,63.0,7.5,2.0,2.3,0.0
1.0,1.0,38.3,42.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.5,0.0,0.0,0.0
1.0,1.0,38.0,36.0,16.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,37.0,75.0,2.0,1.0,0.0
1.0,9.0,38.1,136.0,48.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,4.4,2.0,0.0,33.0,4.9,2.0,2.9,0.0
1.0,1.0,37.9,68.0,20.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,5.0,45.0,4.0,3.0,2.8,0.0
1.0,1.0,39.2,120.0,20.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,4.0,60.0,8.8,3.0,0.0,0.0
1.0,1.0,37.4,84.0,36.0,1.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0
1.0,9.0,38.4,84.0,40.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,36.0,6.6,2.0,2.8,0.0
1.0,1.0,38.1,40.0,36.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
