sepal_length,sepal_width,petal_length,petal_width,class_label
5.7,2.6,3.5,1.0,1.0
5.1,3.5,1.4,0.2,0.0
5.9,3.0,4.2,1.5,1.0
5.6,3.0,4.5,1.5,1.0
5.5,2.6,4.4,1.2,1.0
6.7,3.1,4.7,1.5,1.0
5.5,2.5,4.0,1.3,1.0
5.1,3.8,1.5,0.3,0.0
4.4,3.2,1.3,0.2,0.0
6.3,2.3,4.4,1.3,1.0
6.2,2.2,4.5,1.5,1.0
6.0,2.9,4.5,1.5,1.0
4.9,3.1,1.5,0.1,0.0
6.0,2.7,5.1,1.6,1.0
5.5,2.4,3.8,1.1,1.0
6.1,2.9,4.7,1.4,1.0
5.1,3.3,1.7,0.5,0.0
4.9,3.0,1.4,0.2,0.0
6.0,2.2,4.0,1.0,1.0
5.5,2.4,3.7,1.0,1.0
5.4,3.9,1.7,0.4,0.0
4.8,3.1,1.6,0.2,0.0
