A,B,C,D,E,F,G,H,I,class_label
37.0,0.0,76.0,0.0,36.0,2.0,38.0,39.0,2.0,6.0
37.0,0.0,81.0,0.0,28.0,-7.0,44.0,52.0,8.0,1.0
37.0,0.0,106.0,0.0,36.0,0.0,69.0,70.0,2.0,2.0
56.0,-3.0,96.0,0.0,56.0,0.0,40.0,39.0,0.0,3.0
43.0,0.0,79.0,6.0,42.0,0.0,37.0,38.0,2.0,4.0
43.0,-2.0,86.0,0.0,42.0,-6.0,43.0,45.0,2.0,5.0
55.0,0.0,77.0,0.0,-24.0,30.0,21.0,103.0,82.0,3.0
55.0,0.0,77.0,0.0,8.0,4.0,22.0,70.0,48.0,3.0
56.0,0.0,78.0,0.0,10.0,20.0,22.0,68.0,46.0,3.0
55.0,-4.0,96.0,0.0,52.0,13.0,41.0,44.0,4.0,3.0
56.0,0.0,97.0,0.0,50.0,6.0,41.0,48.0,6.0,3.0
55.0,-2.0,77.0,0.0,26.0,-12.0,22.0,52.0,30.0,3.0
55.0,0.0,92.0,0.0,8.0,0.0,37.0,84.0,48.0,3.0
56.0,-1.0,97.0,0.0,44.0,-5.0,41.0,53.0,12.0,3.0
56.0,3.0,97.0,0.0,38.0,0.0,41.0,58.0,18.0,3.0
56.0,-1.0,97.0,-3.0,50.0,-4.0,41.0,48.0,6.0,3.0
56.0,0.0,77.0,0.0,-18.0,4.0,21.0,95.0,74.0,3.0
56.0,0.0,97.0,0.0,38.0,-18.0,41.0,58.0,18.0,3.0
55.0,0.0,77.0,0.0,30.0,-6.0,22.0,46.0,24.0,3.0
56.0,0.0,98.0,0.0,44.0,-1.0,42.0,54.0,12.0,3.0
55.0,0.0,79.0,0.0,10.0,2.0,23.0,68.0,46.0,3.0
55.0,0.0,77.0,0.0,-12.0,6.0,21.0,90.0,68.0,3.0
55.0,0.0,92.0,0.0,-6.0,-16.0,36.0,99.0,64.0,3.0
56.0,-1.0,95.0,-1.0,42.0,-5.0,40.0,54.0,14.0,3.0
55.0,0.0,98.0,0.0,52.0,6.0,42.0,46.0,4.0,3.0
55.0,0.0,95.0,-2.0,42.0,0.0,39.0,53.0,14.0,3.0
55.0,0.0,77.0,0.0,-28.0,-17.0,22.0,106.0,84.0,3.0
55.0,0.0,81.0,0.0,-10.0,-1.0,25.0,91.0,66.0,3.0
55.0,0.0,77.0,0.0,12.0,11.0,22.0,65.0,42.0,3.0
56.0,0.0,95.0,0.0,42.0,-21.0,40.0,54.0,14.0,3.0
55.0,0.0,95.0,0.0,46.0,-6.0,40.0,49.0,8.0,3.0
55.0,0.0,78.0,0.0,12.0,-25.0,23.0,65.0,42.0,3.0
56.0,0.0,80.0,0.0,-4.0,0.0,24.0,85.0,62.0,3.0
55.0,0.0,78.0,4.0,10.0,14.0,23.0,68.0,46.0,3.0
56.0,2.0,80.0,3.0,-4.0,0.0,24.0,85.0,62.0,3.0
55.0,0.0,77.0,-7.0,16.0,0.0,21.0,61.0,40.0,3.0
56.0,0.0,79.0,-1.0,6.0,-3.0,23.0,74.0,50.0,3.0
55.0,0.0,92.0,0.0,8.0,-18.0,37.0,84.0,48.0,3.0
55.0,0.0,83.0,0.0,-30.0,-4.0,27.0,114.0,86.0,3.0
55.0,0.0,93.0,0.0,50.0,6.0,37.0,44.0,6.0,3.0
55.0,0.0,82.0,6.0,-10.0,0.0,26.0,92.0,66.0,3.0
37.0,-70.0,106.0,0.0,34.0,-2.0,69.0,72.0,4.0,2.0
56.0,0.0,96.0,8.0,42.0,-7.0,40.0,55.0,14.0,3.0
55.0,0.0,77.0,0.0,18.0,13.0,22.0,59.0,38.0,3.0
55.0,0.0,93.0,0.0,2.0,-2.0,38.0,91.0,52.0,3.0
55.0,0.0,93.0,0.0,44.0,-8.0,37.0,49.0,12.0,3.0
56.0,0.0,96.0,-7.0,50.0,-2.0,40.0,47.0,6.0,3.0
55.0,0.0,77.0,0.0,-24.0,18.0,21.0,103.0,82.0,3.0
55.0,0.0,92.0,-7.0,36.0,-30.0,37.0,56.0,20.0,3.0
47.0,-44.0,91.0,0.0,2.0,0.0,43.0,88.0,44.0,2.0
56.0,0.0,81.0,-3.0,-12.0,0.0,25.0,94.0,68.0,3.0
55.0,0.0,79.0,0.0,18.0,5.0,23.0,61.0,38.0,3.0
55.0,0.0,77.0,0.0,10.0,10.0,22.0,67.0,46.0,3.0
55.0,-1.0,99.0,6.0,46.0,0.0,43.0,52.0,8.0,3.0
55.0,-3.0,73.0,-8.0,-4.0,-5.0,18.0,78.0,60.0,3.0
55.0,0.0,98.0,0.0,50.0,-4.0,42.0,49.0,6.0,3.0
55.0,0.0,98.0,0.0,46.0,-13.0,42.0,51.0,8.0,3.0
37.0,0.0,79.0,0.0,10.0,374.0,42.0,69.0,26.0,0.0
53.0,9.0,77.0,0.0,28.0,0.0,24.0,48.0,24.0,3.0
56.0,0.0,80.0,0.0,20.0,-10.0,24.0,59.0,36.0,3.0
56.0,0.0,97.0,0.0,42.0,16.0,41.0,55.0,14.0,3.0
56.0,0.0,81.0,-2.0,-6.0,0.0,25.0,88.0,64.0,3.0
55.0,0.0,93.0,0.0,0.0,-8.0,38.0,93.0,56.0,3.0
55.0,0.0,79.0,0.0,10.0,-20.0,23.0,68.0,46.0,3.0
56.0,0.0,95.0,0.0,52.0,28.0,40.0,44.0,4.0,3.0
56.0,0.0,96.0,0.0,52.0,23.0,40.0,44.0,4.0,3.0
56.0,3.0,95.0,0.0,46.0,-6.0,40.0,49.0,10.0,3.0
56.0,0.0,80.0,-2.0,6.0,5.0,24.0,75.0,50.0,3.0
55.0,-4.0,80.0,-4.0,-4.0,8.0,25.0,85.0,60.0,3.0
55.0,0.0,76.0,16.0,-22.0,1.0,21.0,99.0,78.0,3.0
