A,B,C,D,E,F,G,H,I,class_label
37.0,0.0,76.0,0.0,36.0,2.0,38.0,39.0,2.0,6.0
37.0,0.0,81.0,0.0,28.0,-7.0,44.0,52.0,8.0,1.0
37.0,0.0,106.0,0.0,36.0,0.0,69.0,70.0,2.0,2.0
56.0,-3.0,96.0,0.0,56.0,0.0,40.0,39.0,0.0,3.0
43.0,0.0,79.0,6.0,42.0,0.0,37.0,38.0,2.0,4.0
43.0,-2.0,86.0,0.0,42.0,-6.0,43.0,45.0,2.0,5.0
79.0,0.0,83.0,-5.0,-32.0,-5.0,4.0,117.0,112.0,4.0
78.0,-3.0,83.0,0.0,-46.0,0.0,4.0,129.0,124.0,4.0
82.0,2.0,86.0,0.0,-42.0,-29.0,4.0,130.0,126.0,4.0
78.0,-1.0,82.0,0.0,-46.0,0.0,4.0,128.0,124.0,4.0
85.0,0.0,88.0,0.0,2.0,22.0,3.0,86.0,82.0,4.0
104.0,1.0,105.0,2.0,70.0,0.0,1.0,35.0,34.0,4.0
101.0,2.0,102.0,8.0,72.0,13.0,1.0,30.0,28.0,4.0
80.0,-1.0,84.0,1.0,-36.0,0.0,5.0,121.0,116.0,4.0
104.0,2.0,106.0,4.0,72.0,2.0,1.0,33.0,32.0,4.0
81.0,-4.0,85.0,0.0,-10.0,0.0,4.0,95.0,92.0,4.0
77.0,0.0,81.0,0.0,-40.0,3.0,4.0,123.0,118.0,4.0
79.0,-4.0,83.0,-6.0,-40.0,6.0,4.0,124.0,120.0,4.0
82.0,5.0,85.0,0.0,-12.0,0.0,3.0,98.0,94.0,4.0
77.0,0.0,81.0,0.0,-42.0,0.0,4.0,125.0,120.0,4.0
79.0,0.0,83.0,-2.0,-46.0,0.0,4.0,129.0,126.0,4.0
71.0,46.0,82.0,0.0,-42.0,-8.0,11.0,126.0,114.0,1.0
102.0,0.0,102.0,-5.0,70.0,-7.0,1.0,33.0,32.0,4.0
102.0,0.0,103.0,0.0,70.0,-11.0,1.0,33.0,32.0,4.0
85.0,0.0,88.0,0.0,0.0,-27.0,3.0,88.0,86.0,4.0
102.0,0.0,103.0,0.0,72.0,5.0,1.0,31.0,30.0,4.0
106.0,-1.0,108.0,-1.0,70.0,-1.0,1.0,38.0,36.0,4.0
80.0,1.0,84.0,0.0,-42.0,-29.0,4.0,128.0,124.0,4.0
79.0,5.0,83.0,0.0,-28.0,0.0,4.0,112.0,108.0,4.0
79.0,0.0,83.0,0.0,-46.0,-17.0,4.0,130.0,126.0,4.0
97.0,-29.0,107.0,0.0,70.0,0.0,10.0,37.0,28.0,2.0
79.0,-1.0,84.0,0.0,-42.0,0.0,4.0,128.0,124.0,4.0
102.0,0.0,102.0,-6.0,70.0,-5.0,1.0,33.0,32.0,4.0
105.0,7.0,106.0,7.0,70.0,0.0,1.0,36.0,36.0,4.0
37.0,-3700.0,106.0,-1.0,34.0,-2.0,69.0,72.0,4.0,6.0
76.0,0.0,81.0,0.0,-42.0,0.0,5.0,125.0,120.0,4.0
79.0,0.0,83.0,0.0,-32.0,14.0,4.0,117.0,112.0,4.0
79.0,-5.0,83.0,0.0,-46.0,0.0,5.0,130.0,126.0,4.0
76.0,0.0,81.0,8.0,-40.0,9.0,5.0,122.0,116.0,4.0
81.0,0.0,86.0,6.0,-24.0,0.0,4.0,112.0,108.0,4.0
82.0,0.0,86.0,0.0,-2.0,8.0,3.0,88.0,84.0,4.0
78.0,-5.0,82.0,0.0,-40.0,0.0,4.0,123.0,120.0,4.0
104.0,2.0,106.0,2.0,70.0,0.0,1.0,36.0,34.0,4.0
37.0,-80.0,106.0,-1.0,34.0,-2.0,69.0,72.0,4.0,2.0
102.0,0.0,102.0,-7.0,72.0,24.0,1.0,30.0,30.0,4.0
82.0,0.0,85.0,0.0,-6.0,3.0,3.0,93.0,90.0,4.0
84.0,0.0,88.0,0.0,-2.0,-26.0,3.0,90.0,88.0,4.0
103.0,-2.0,104.0,-1.0,70.0,-15.0,1.0,35.0,34.0,4.0
81.0,3.0,84.0,0.0,-18.0,0.0,3.0,103.0,100.0,4.0
81.0,0.0,85.0,0.0,-40.0,9.0,4.0,126.0,122.0,4.0
82.0,0.0,86.0,8.0,-10.0,0.0,4.0,96.0,92.0,4.0
81.0,0.0,84.0,-1.0,-20.0,-20.0,4.0,105.0,102.0,4.0
53.0,14.0,95.0,-2.0,50.0,0.0,42.0,46.0,4.0,3.0
81.0,-2.0,84.0,0.0,-18.0,-30.0,4.0,103.0,98.0,4.0
85.0,0.0,88.0,0.0,2.0,5.0,3.0,86.0,82.0,4.0
86.0,7.0,89.0,0.0,8.0,9.0,3.0,81.0,78.0,4.0
82.0,2.0,86.0,3.0,-40.0,6.0,5.0,128.0,124.0,4.0
101.0,0.0,102.0,2.0,72.0,14.0,1.0,30.0,28.0,4.0
84.0,0.0,88.0,-1.0,6.0,-3.0,5.0,83.0,78.0,4.0
105.0,0.0,107.0,0.0,70.0,-1.0,1.0,37.0,36.0,4.0
55.0,0.0,95.0,0.0,52.0,-24.0,40.0,44.0,4.0,3.0
82.0,0.0,86.0,0.0,-12.0,-22.0,3.0,99.0,96.0,4.0
85.0,2.0,88.0,0.0,0.0,0.0,3.0,88.0,84.0,4.0
76.0,5.0,81.0,3.0,-40.0,15.0,5.0,122.0,118.0,4.0
81.0,0.0,84.0,0.0,-22.0,-13.0,4.0,108.0,104.0,4.0
82.0,3.0,86.0,5.0,-40.0,0.0,5.0,128.0,124.0,4.0
101.0,0.0,102.0,0.0,72.0,14.0,1.0,29.0,28.0,4.0
85.0,0.0,88.0,-2.0,6.0,26.0,3.0,83.0,80.0,4.0
79.0,-3.0,84.0,0.0,-32.0,0.0,4.0,117.0,112.0,4.0
