A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,class_label
1.0,1.0,37.0,66.0,20.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,5.0,35.0,6.9,2.0,0.0,0
2.0,1.0,38.5,100.0,0.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,2.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0
2.0,1.0,0.0,96.0,0.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,0.0,1.0,0.0,4.0,5.0,60.0,0.0,0.0,0.0,0
1.0,1.0,37.3,48.0,20.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,5.0,41.0,69.0,0.0,0.0,1
2.0,1.0,38.0,56.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,42.0,71.0,0.0,0.0,1
2.0,1.0,38.5,96.0,36.0,3.0,3.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,4.0,5.0,70.0,8.5,0.0,0.0,0
1.0,1.0,0.0,88.0,40.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,0.0,0.0,4.0,5.0,50.0,7.7,3.0,1.4,0
1.0,1.0,37.8,48.0,28.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,46.0,5.9,2.0,7.0,1
1.0,1.0,38.4,92.0,20.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2.0,1.0,39.0,86.0,16.0,3.0,3.0,5.0,0.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,68.0,5.8,3.0,6.0,0
1.0,1.0,38.4,80.0,30.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,5.0,32.0,6.1,3.0,4.3,1
2.0,1.0,38.1,56.0,20.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,46.0,70.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,0.0,4.0,5.0,46.0,5.9,0.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.0,1.0,37.5,44.0,10.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,43.0,51.0,1.0,1.0,1
2.0,1.0,39.1,72.0,52.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,50.0,7.8,0.0,0.0,1
1.0,1.0,37.2,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,36.0,62.0,1.0,1.0,0
1.0,1.0,38.2,64.0,28.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,49.0,8.6,2.0,6.6,1
1.0,1.0,38.7,76.0,0.0,1.0,1.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,4.0,4.0,50.0,8.0,0.0,0.0,1
2.0,1.0,38.6,40.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,6.4,0.0,0.0,1
2.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1
2.0,1.0,38.7,52.0,20.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,33.0,77.0,0.0,0.0,1
2.0,1.0,39.0,64.0,40.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,3.0,42.0,7.5,2.0,2.3,1
1.0,1.0,37.6,64.0,21.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,5.0,40.0,7.0,1.0,0.0,1
1.0,1.0,35.4,140.0,24.0,3.0,3.0,4.0,2.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,5.0,57.0,69.0,3.0,2.0,0
1.0,1.0,38.1,44.0,9.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,5.0,31.0,7.3,0.0,0.0,1
1.0,1.0,38.0,44.0,12.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,4.0,5.0,42.0,65.0,0.0,0.0,1
2.0,1.0,38.0,54.0,30.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,4.0,45.0,6.2,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,37.4,84.0,20.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,61.0,0.0,1.0,0
1.0,9.0,39.1,164.0,84.0,4.0,1.0,6.0,2.0,2.0,4.0,4.0,1.0,2.0,5.0,3.0,0.0,48.0,7.2,3.0,5.3,0
1.0,1.0,38.5,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,7.7,0.0,0.0,1
1.0,1.0,0.0,112.0,13.0,4.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,4.5,4.0,4.0,60.0,6.3,3.0,0.0,1
1.0,1.0,38.1,88.0,32.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,0.0,3.0,1.0,4.0,5.0,55.0,60.0,0.0,0.0,0
1.0,9.0,38.8,150.0,50.0,1.0,3.0,6.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,50.0,6.2,0.0,0.0,0
2.0,1.0,38.5,66.0,28.0,3.0,3.0,0.0,2.0,5.0,4.0,4.0,0.0,0.0,0.0,3.0,5.0,45.0,8.4,0.0,0.0,0
1.0,1.0,38.5,66.0,24.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,4.0,5.0,40.0,6.7,1.0,0.0,1
1.0,1.0,38.0,90.0,30.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,0.0,0.0,0.0,4.0,5.0,55.0,6.1,0.0,0.0,0
2.0,1.0,38.8,50.0,20.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,42.0,6.2,0.0,0.0,1
2.0,1.0,0.0,120.0,0.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,1.0,1.0,0.0,4.0,5.0,60.0,6.5,3.0,0.0,0
1.0,1.0,38.0,0.0,24.0,3.0,3.0,6.0,2.0,5.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,68.0,7.8,0.0,0.0,0
2.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,40.8,72.0,42.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,54.0,7.4,3.0,0.0,0
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,4.9,0.0,0.0,0
1.0,1.0,38.2,48.0,0.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,4.0,5.0,42.0,71.0,0.0,0.0,1
1.0,1.0,0.0,68.0,14.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,1.0,4.3,0.0,0.0,0.0,0.0,2.0,2.8,0
1.0,1.0,38.6,42.0,34.0,2.0,1.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,7.2,0.0,0.0,1
2.0,1.0,37.9,40.0,24.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,40.0,5.7,0.0,0.0,1
1.0,1.0,37.4,50.0,32.0,3.0,3.0,0.0,1.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,45.0,7.9,2.0,1.0,1
1.0,9.0,0.0,128.0,36.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,5.0,53.0,7.8,3.0,4.7,0
1.0,1.0,0.0,60.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,3.0,4.0,44.0,8.3,0.0,0.0,0
