A,B,C,D,E,F,G,H,I,class_label
37,0,76,0,36,2,38,39,2,6
37,0,81,0,28,-7,44,52,8,1
37,0,106,0,36,0,69,70,2,2
46,0,76,1,46,1,30,30,0,0
56,-3,96,0,56,0,40,39,0,3
43,0,79,6,42,0,37,38,2,4
43,-2,86,0,42,-6,43,45,2,5
38,-5,86,0,38,0,48,48,0,0
56,0,78,0,24,-7,22,55,32,3
44,4,81,0,44,17,37,37,0,0
40,0,87,6,38,0,47,48,2,0
37,0,79,0,8,-24,42,71,28,0
54,-3,86,0,54,0,33,32,0,0
48,0,87,-4,46,0,39,41,2,0
56,0,78,0,12,-3,22,65,42,3
53,8,77,0,-22,0,24,101,76,3
41,1,75,0,42,9,34,34,0,0
37,0,110,-2,28,0,73,82,8,0
43,0,80,0,44,28,37,36,0,0
56,2,86,6,56,8,31,30,0,0
55,5,77,0,28,0,22,48,26,3
46,5,79,0,44,-24,33,35,2,0
52,0,81,0,52,-4,28,29,0,0
42,0,81,4,42,0,39,39,0,0
39,-2,77,0,38,0,38,38,0,0
48,3,77,2,46,0,30,31,2,0
37,0,77,1,12,0,40,64,24,0
55,-1,77,-3,24,-7,22,54,32,3
58,-1,86,-2,56,-2,28,30,2,0
56,0,97,-4,46,-17,41,51,10,3
49,2,84,0,50,1,35,35,0,0
37,0,76,0,20,19,39,55,16,0
39,-4,86,8,38,0,47,48,0,0
44,1,90,1,44,22,47,46,0,0
102,1,103,4,70,0,1,33,32,4
37,0,107,6,30,16,69,76,6,0
56,3,95,0,42,-10,40,54,14,3
45,0,85,0,44,-3,40,41,2,0
108,-1,109,0,72,8,1,36,36,4
49,0,87,0,46,-30,38,41,2,0
44,-5,87,0,44,0,43,43,0,0
55,0,95,0,46,16,40,49,8,3
37,0,76,0,38,13,39,37,0,0
55,0,92,5,26,0,37,66,30,3
37,0,108,0,30,-8,71,77,6,0
46,0,102,0,46,1,57,56,0,0
53,5,79,0,54,5,25,24,0,0
56,-5,98,0,42,-11,42,57,14,3
84,0,88,0,6,0,5,83,78,4
41,5,93,0,38,-14,52,55,2,0
41,-1,79,0,42,0,38,37,0,0
37,0,77,0,30,-26,41,46,6,0
37,0,75,0,30,21,38,44,6,0
56,4,84,0,56,1,28,27,0,0
37,0,80,1,26,0,43,54,10,0
44,0,90,-8,44,0,46,46,0,0
37,0,79,-1,26,11,43,54,10,0
42,5,79,8,42,0,37,38,0,0
56,0,95,0,54,-26,40,41,2,0
37,0,76,2,26,-25,40,50,10,0
51,0,84,0,52,18,33,32,0,0
48,0,89,6,46,0,41,42,2,0
37,0,76,0,36,20,40,40,0,0
42,0,88,0,42,0,47,47,0,0
45,-1,86,-4,46,19,40,39,0,0
46,-2,77,0,46,0,31,31,0,0
56,1,81,0,56,21,25,24,0,0
44,2,88,0,44,6,44,44,0,0
50,0,88,-2,50,0,38,39,0,0
45,-1,79,0,44,-24,33,35,2,0
45,0,82,0,46,16,37,35,0,0
41,-4,76,0,38,-23,35,37,2,0
49,0,78,0,46,-12,29,32,2,0
37,0,77,0,36,0,40,41,0,0
46,1,83,0,46,6,37,37,0,0
42,0,76,-1,42,-2,35,35,0,0
37,0,77,0,30,9,40,46,6,0
53,-1,82,8,54,0,29,28,0,0
42,0,77,3,42,0,34,35,2,0
48,-2,86,0,50,26,38,37,0,0
102,3,102,0,70,0,1,33,32,4
37,0,80,0,34,3,43,46,4,0
37,1,77,-2,34,0,40,43,2,0
102,0,103,0,70,-16,1,33,32,4
56,0,77,0,-2,15,21,79,58,3
56,0,78,-1,6,-3,22,73,50,3
45,0,87,3,44,0,43,43,0,0
40,2,90,0,38,0,50,51,2,0
44,0,77,0,44,6,34,34,0,0
37,0,79,0,20,-24,42,58,16,0
50,5,86,0,50,0,37,37,0,0
48,-1,88,0,46,0,39,41,2,0
56,4,98,0,38,-2,42,59,18,3
37,-1,79,0,24,-4,42,55,14,0
45,1,86,0,44,-6,41,42,2,0
37,0,97,0,34,7,60,64,4,0
56,0,82,0,56,27,26,25,0,0
38,-4,82,3,38,0,44,43,0,0
43,-5,81,-2,42,-14,37,39,2,0
