sepal_length,sepal_width,petal_length,petal_width,class_label
5.5,3.5,1.3,0.2,0
6.1,2.8,4.0,1.3,1
4.8,3.1,1.6,0.2,0
6.3,3.4,5.6,2.4,2
7.0,3.2,4.7,1.4,1
5.7,2.8,4.5,1.3,1
5.8,2.6,4.0,1.2,1
4.9,3.1,1.5,0.1,0
4.4,3.2,1.3,0.2,0
6.4,2.8,5.6,2.1,2
5.7,2.5,5.0,2.0,2
4.8,3.0,1.4,0.1,0
5.1,3.4,1.5,0.2,0
5.4,3.9,1.3,0.4,0
5.7,2.6,3.5,1.0,1
5.4,3.7,1.5,0.2,0
5.8,4.0,1.2,0.2,0
6.0,3.4,4.5,1.6,1
7.7,2.6,6.9,2.3,2
4.6,3.6,1.0,0.2,0
6.2,2.2,4.5,1.5,1
7.4,2.8,6.1,1.9,2
6.0,2.2,5.0,1.5,2
5.5,2.5,4.0,1.3,1
4.3,3.0,1.1,0.1,0
6.5,3.0,5.8,2.2,2
5.2,3.5,1.5,0.2,0
6.9,3.2,5.7,2.3,2
4.6,3.4,1.4,0.3,0
6.2,2.9,4.3,1.3,1
