sepal_length,sepal_width,petal_length,petal_width,class_label
6.4,2.8,5.6,2.1,2
5.0,2.0,3.5,1.0,1
4.8,3.4,1.9,0.2,0
6.8,2.8,4.8,1.4,1
7.7,2.6,6.9,2.3,2
5.5,2.6,4.4,1.2,1
4.3,3.0,1.1,0.1,0
6.9,3.1,5.1,2.3,2
6.9,3.2,5.7,2.3,2
4.6,3.1,1.5,0.2,0
6.2,2.8,4.8,1.8,2
5.7,2.8,4.1,1.3,1
5.0,3.5,1.6,0.6,0
6.7,3.1,4.4,1.4,1
5.8,2.7,5.1,1.9,2
6.4,2.9,4.3,1.3,1
7.6,3.0,6.6,2.1,2
5.1,3.5,1.4,0.2,0
6.2,2.9,4.3,1.3,1
5.0,2.3,3.3,1.0,1
4.4,3.0,1.3,0.2,0
5.6,2.7,4.2,1.3,1
6.6,2.9,4.6,1.3,1
4.9,2.4,3.3,1.0,1
5.7,2.6,3.5,1.0,1
5.4,3.4,1.7,0.2,0
5.5,2.4,3.8,1.1,1
7.7,2.8,6.7,2.0,2
4.9,2.5,4.5,1.7,2
5.1,2.5,3.0,1.1,1
