A,B,C,D,E,F,G,H,I,class_label
37,0,76,0,36,2,38,39,2,6
37,0,81,0,28,-7,44,52,8,1
37,0,106,0,36,0,69,70,2,2
46,0,76,1,46,1,30,30,0,0
56,-3,96,0,56,0,40,39,0,3
43,0,79,6,42,0,37,38,2,4
43,-2,86,0,42,-6,43,45,2,5
41,-2,82,0,38,-9,41,43,2,0
37,0,104,0,34,5,67,71,4,0
55,-2,77,0,26,-20,22,52,30,3
38,5,80,0,38,1,42,41,0,0
44,2,79,5,44,2,35,35,0,0
53,0,102,-7,54,8,48,48,0,0
47,3,102,-2,46,0,55,55,0,0
71,3,75,1,-42,-17,4,119,114,4
59,0,87,0,60,18,28,28,0,0
44,4,84,-2,44,18,41,41,0,0
37,-4,105,0,34,0,68,71,4,0
41,0,78,0,38,-20,37,39,2,0
44,5,79,0,42,-10,35,37,2,0
37,0,83,0,2,11,46,81,34,0
56,3,91,0,56,15,35,34,0,0
45,4,76,0,44,0,31,32,2,0
36,-4,81,0,36,0,45,45,0,0
50,-3,85,-3,50,0,36,36,0,0
49,-4,83,0,46,-29,34,37,2,0
37,0,94,0,12,-21,57,81,24,0
44,4,107,0,44,2,63,63,0,0
45,0,81,0,46,17,35,34,0,0
55,1,81,7,54,0,26,27,0,0
46,0,88,-4,46,0,43,42,0,0
57,1,84,-6,56,0,28,28,0,0
37,-1,76,0,36,-12,38,39,2,0
45,0,88,-1,44,-1,43,44,2,0
49,1,88,0,46,-30,39,42,2,0
49,0,88,4,50,26,40,39,0,0
56,4,97,0,46,0,41,51,10,3
56,0,79,0,8,-12,23,71,48,3
37,0,95,4,10,0,58,85,28,0
38,0,94,1,38,5,56,55,0,0
56,0,95,0,44,-10,40,51,12,3
41,0,82,0,42,21,41,41,0,0
41,0,83,-2,38,-1,42,44,2,0
41,0,77,2,42,21,36,36,0,0
105,-5,106,-7,70,0,1,36,34,4
37,0,78,0,2,-2,42,75,34,0
37,0,77,0,34,31,40,43,4,0
47,2,90,-1,46,0,42,43,0,0
38,0,102,0,38,5,64,63,0,0
37,0,81,0,24,7,44,58,14,0
55,0,95,0,50,-2,40,46,6,3
37,0,76,-1,28,-30,39,47,8,0
46,2,77,0,46,10,32,31,0,0
55,0,93,3,44,-2,37,49,12,3
45,2,87,6,44,0,42,43,2,0
50,-2,82,0,50,0,32,33,0,0
45,0,88,-23,44,-224,42,44,2,0
41,0,76,0,42,24,35,35,0,0
43,0,77,6,42,-5,34,35,2,0
53,0,87,0,54,0,34,33,0,0
37,0,104,-7,24,0,67,81,14,0
47,2,77,0,46,0,31,31,0,0
57,-2,81,0,56,0,25,24,0,0
37,-1,79,0,28,1,42,51,8,0
37,0,93,0,12,0,56,81,24,0
56,0,86,0,56,14,31,30,0,0
81,0,84,0,-12,1,3,97,94,4
43,0,85,-3,42,-38,42,44,2,0
45,0,82,-2,44,-3,37,38,0,0
56,0,79,5,0,4,23,79,56,3
37,0,78,0,-4,17,41,83,42,0
67,0,109,-6,68,0,42,42,0,0
44,0,80,-3,42,-30,36,39,2,0
56,0,81,0,-18,0,25,99,74,3
103,0,104,8,70,0,1,35,34,4
55,0,78,0,54,-6,23,24,2,0
43,0,81,0,42,-11,37,39,2,0
37,0,79,0,6,-2,43,74,32,0
55,0,93,3,54,0,38,39,2,0
45,-49,79,2,0,0,33,79,46,2
45,0,83,0,46,23,37,36,0,0
37,0,78,0,34,-4,41,45,4,0
44,0,83,0,42,-23,40,42,2,0
41,0,79,-3,42,1,38,37,0,0
55,-1,97,0,42,6,42,56,14,3
43,-4,79,0,42,-8,35,37,2,0
37,-1,100,-4,30,-7,64,69,6,0
49,0,88,2,46,-6,40,42,2,0
51,-4,83,0,50,-18,32,33,2,0
38,-1,76,0,38,0,37,37,0,0
37,0,77,0,26,-12,40,51,12,0
56,0,97,-3,46,-11,41,51,10,3
49,2,86,0,46,-1,38,40,2,0
44,1,76,0,44,15,32,32,0,0
43,-5,77,2,42,0,35,36,2,0
62,0,109,7,60,0,48,50,2,0
48,3,86,0,46,0,38,39,2,0
54,0,108,0,54,0,54,53,0,0
