A,B,C,D,E,F,G,H,I,class_label
37,0,76,0,36,2,38,39,2,6
37,0,81,0,28,-7,44,52,8,0
37,0,106,0,36,0,69,70,2,0
46,0,76,1,46,1,30,30,0,0
56,-3,96,0,56,0,40,39,0,0
43,0,79,6,42,0,37,38,2,0
43,-2,86,0,42,-6,43,45,2,0
55,0,79,5,0,0,23,79,56,3
42,0,89,-1,42,0,47,48,2,0
37,-1,76,0,38,8,39,37,0,0
46,0,76,2,46,3,30,30,0,0
37,0,81,3,38,18,44,43,0,0
44,0,82,6,44,8,38,38,0,0
37,0,77,0,-6,-10,41,85,44,0
41,0,80,-2,38,-26,39,41,2,0
37,0,76,3,30,30,39,45,6,0
56,0,86,0,56,16,31,30,0,0
37,0,80,-2,38,19,43,41,0,0
37,0,106,0,28,21,68,77,8,0
37,0,76,-1,24,-5,39,53,14,0
49,0,84,1,50,0,35,35,0,0
49,1,82,0,50,13,33,33,0,0
64,0,110,0,62,-18,46,48,2,0
37,0,79,0,38,17,41,40,0,0
47,1,86,0,46,0,38,39,0,0
56,0,83,0,56,6,26,26,0,0
42,0,81,0,42,2,39,39,0,0
37,0,103,-7,18,0,66,85,20,0
55,0,96,8,50,-7,41,47,6,3
43,3,78,0,42,0,35,37,2,0
56,0,97,6,46,0,41,50,10,3
43,0,79,2,42,-2,36,38,2,0
37,0,76,0,34,-4,40,43,2,0
55,0,78,0,12,4,23,65,42,3
44,3,108,0,44,1,63,64,0,0
41,0,83,0,38,-21,41,44,2,0
56,1,86,0,56,6,30,30,0,0
37,0,78,-2,2,-8,41,75,34,0
44,0,82,0,44,30,38,38,0,0
85,0,88,6,0,0,3,88,84,4
47,0,90,-1,46,0,42,43,0,0
44,3,81,0,42,-13,37,39,2,0
37,0,77,0,38,24,40,39,0,0
37,0,79,-6,24,0,42,55,14,0
37,0,83,0,30,6,47,52,6,0
37,0,79,0,2,-10,42,76,34,0
56,0,79,-1,8,0,23,71,48,3
55,0,79,5,24,-10,23,55,32,3
37,1,79,0,36,-6,41,43,2,0
38,2,83,0,38,32,45,44,0,0
40,1,82,0,38,0,42,43,2,0
37,0,77,0,38,11,40,39,0,0
55,0,78,0,6,13,23,73,50,3
39,1,77,0,38,0,38,39,0,0
41,0,82,0,42,3,41,41,0,0
37,0,104,0,18,1,66,86,20,0
81,0,84,0,-12,19,4,97,94,4
41,0,88,0,42,6,47,46,0,0
37,0,75,0,26,-9,38,49,12,0
56,1,98,0,44,3,42,54,12,3
47,0,102,0,46,0,56,56,0,0
42,4,78,-3,42,0,36,37,2,0
43,0,86,3,42,-14,43,45,2,0
52,3,81,2,52,0,29,30,0,0
45,0,77,0,44,-5,31,33,2,0
39,-1,110,0,38,0,71,71,0,0
48,0,83,-1,46,-1,35,37,2,0
37,0,79,0,20,-12,42,58,16,0
45,0,80,5,44,0,35,36,2,0
41,-2,86,0,42,3,46,45,0,0
102,4,102,0,70,0,1,33,32,4
46,0,79,0,44,-29,33,35,2,0
68,0,112,0,68,0,44,45,0,0
55,0,92,0,26,-20,36,66,30,3
41,0,81,0,38,-21,39,42,2,0
50,-37,79,0,0,0,29,79,50,2
42,0,88,0,42,0,46,47,2,0
53,0,86,0,52,-1,33,34,2,0
40,1,97,0,38,0,57,59,2,0
45,0,81,0,44,9,36,37,2,0
55,0,83,0,56,14,27,26,0,0
53,0,82,0,54,13,29,28,0,0
44,1,88,0,44,10,45,44,0,0
37,1,77,0,-22,10,40,101,60,0
41,1,83,0,42,19,41,41,0,0
38,0,76,0,38,4,38,37,0,0
49,1,83,0,50,24,34,34,0,0
44,1,79,0,44,7,35,35,0,0
50,3,83,0,50,0,33,33,0,0
66,0,109,0,68,11,43,42,0,0
37,0,77,0,2,-10,40,74,34,0
51,0,78,-4,52,0,27,26,0,0
48,0,86,6,46,0,38,40,2,0
56,0,97,-1,46,-7,41,51,10,3
48,1,87,0,46,0,39,41,2,0
37,0,79,0,12,2,42,66,24,0
37,0,104,0,20,-7,67,84,16,0
50,-5,77,0,50,0,27,28,2,0
56,2,80,0,20,-7,24,59,36,3
39,0,76,0,38,0,37,37,0,0
49,0,78,0,50,17,29,29,0,0
45,0,88,-2,46,-9,42,41,0,0
50,0,87,-2,50,-3,37,38,0,0
53,-1,84,0,54,5,31,30,0,0
43,0,87,0,42,-18,44,46,2,0
43,0,79,-4,42,-7,35,37,2,0
50,2,77,0,50,0,27,28,2,0
37,0,107,0,28,0,69,78,8,0
43,-2,89,0,42,0,46,48,2,0
37,0,78,0,-4,1,42,83,42,0
43,0,79,-6,42,0,36,37,2,0
45,0,77,-1,44,-2,32,33,0,0
55,0,77,0,-20,0,21,97,76,3
43,0,78,0,44,27,35,34,0,0
53,0,77,0,54,20,25,23,0,0
48,0,85,-3,46,0,37,39,2,0
56,0,77,0,-2,22,21,79,58,3
37,0,78,0,16,-22,42,63,22,0
49,0,80,0,50,28,31,31,0,0
49,0,95,1,50,4,47,46,0,0
37,0,77,0,16,-22,40,62,22,0
56,0,77,0,44,-1,22,34,12,3
37,0,76,0,38,5,38,37,0,0
42,0,86,-4,42,0,45,45,0,0
37,0,107,0,30,8,70,76,6,0
46,2,78,0,44,-22,32,34,2,0
42,-5,108,0,42,0,67,67,0,0
58,0,96,-4,56,0,38,39,2,0
37,0,80,0,10,6,43,70,26,0
37,0,93,2,26,2,55,67,12,0
43,0,97,0,42,-3,53,55,2,0
46,0,77,0,46,4,31,30,0,0
41,-2,86,0,42,0,45,44,0,0
47,2,81,0,46,0,35,35,0,0
39,0,83,2,38,0,44,44,0,0
37,0,94,0,12,21,57,81,24,0
45,-4,79,0,44,-19,33,35,2,0
55,0,77,4,-10,0,22,88,66,3
46,0,78,0,46,1,32,32,0,0
55,0,92,3,-4,4,36,97,60,3
37,0,92,-1,26,10,55,66,12,0
49,0,77,0,46,-23,28,30,2,0
37,0,79,-2,36,-6,42,43,2,0
55,0,77,0,-14,-27,21,92,70,3
37,0,76,-4,18,-1,39,57,18,0
37,0,78,1,0,1,41,78,36,0
55,0,82,0,54,9,26,28,2,0
44,3,77,0,44,17,33,33,0,0
43,0,83,0,44,13,40,39,0,0
41,-2,106,0,38,-9,65,67,2,0
46,0,85,0,44,-22,39,41,2,0
56,0,81,0,-2,18,25,83,58,3
81,0,84,0,-12,19,3,97,94,4
45,-2,109,0,44,-1,64,66,2,0
56,3,86,0,56,26,31,30,0,0
52,4,80,3,52,0,28,28,0,0
51,1,84,0,50,0,33,35,2,0
38,3,79,0,38,0,41,40,0,0
48,0,89,3,46,-2,41,42,2,0
