A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,class_label
1.0,9.0,38.8,124.0,36.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,4.0,4.0,50.0,7.6,3.0,0.0,0
2.0,1.0,38.6,46.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,49.0,9.1,1.0,1.6,1
1.0,1.0,38.2,76.0,28.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,0.0,4.0,4.0,46.0,81.0,1.0,2.0,1
2.0,1.0,37.3,104.0,35.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,7.4,0.0,0.0,0
2.0,1.0,39.5,60.0,10.0,3.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,3.0,0.0,38.0,56.0,1.0,0.0,1
2.0,1.0,0.0,104.0,24.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,2.0,73.0,8.4,0.0,0.0,0
2.0,1.0,37.2,108.0,12.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,6.0,3.0,3.0,52.0,8.2,3.0,7.4,0
1.0,1.0,38.1,52.0,24.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,7.0,1.0,0.0,54.0,7.5,2.0,2.6,0
2.0,1.0,38.0,60.0,12.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,47.0,7.0,0.0,0.0,1
1.0,1.0,39.4,54.0,66.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,3.0,4.0,39.0,6.0,2.0,0.0,1
1.0,1.0,38.0,66.0,20.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,46.0,46.0,3.0,2.0,0
1.0,9.0,38.2,124.0,88.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,47.0,8.0,1.0,0.0,1
2.0,1.0,38.5,40.0,16.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,37.0,67.0,0.0,0.0,1
1.0,1.0,37.2,60.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,4.0,5.0,43.0,6.6,0.0,0.0,1
