sepal_length,sepal_width,petal_length,petal_width,class_label
4.6,3.1,1.5,0.2,0
5.2,4.1,1.5,0.1,0
4.6,3.2,1.4,0.2,0
6.3,3.3,6.0,2.5,2
6.2,2.9,4.3,1.3,1
6.8,2.8,4.8,1.4,1
5.9,3.0,5.1,1.8,2
6.4,2.7,5.3,1.9,2
5.5,2.3,4.0,1.3,1
6.1,2.8,4.0,1.3,1
5.6,3.0,4.1,1.3,1
5.8,2.8,5.1,2.4,2
6.7,3.3,5.7,2.5,2
5.6,2.9,3.6,1.3,1
6.5,3.0,5.5,1.8,2
6.8,3.2,5.9,2.3,2
5.0,2.3,3.3,1.0,1
5.1,3.8,1.6,0.2,0
5.4,3.9,1.3,0.4,0
6.3,3.3,4.7,1.6,1
6.1,3.0,4.6,1.4,1
7.7,2.8,6.7,2.0,2
5.6,2.5,3.9,1.1,1
4.6,3.6,1.0,0.2,0
5.7,2.9,4.2,1.3,1
6.6,2.9,4.6,1.3,1
6.0,3.4,4.5,1.6,1
5.8,2.7,5.1,1.9,2
6.9,3.1,5.1,2.3,2
6.4,3.2,4.5,1.5,1
