A,B,C,D,E,F,G,H,I,class_label
37,0,76,0,36,2,38,39,2,6
37,0,81,0,28,-7,44,52,8,1
37,0,106,0,36,0,69,70,2,2
46,0,76,1,46,1,30,30,0,0
56,-3,96,0,56,0,40,39,0,3
43,0,79,6,42,0,37,38,2,4
43,-2,86,0,42,-6,43,45,2,5
45,-2,109,0,44,-7,64,66,2,0
55,0,77,0,-24,30,21,103,82,3
42,4,86,0,42,0,43,44,2,0
81,0,84,-6,-22,0,3,108,104,4
46,-3,81,1,46,1,35,35,0,0
37,0,77,0,12,-7,40,64,24,0
41,0,81,0,38,-23,40,42,2,0
42,0,77,-2,42,-3,36,36,0,0
37,0,90,-1,18,0,53,72,20,0
59,-4,84,0,60,0,25,24,0,0
37,-1,75,0,26,0,38,49,10,0
47,0,83,-5,46,0,36,37,0,0
37,0,79,0,8,10,42,71,28,0
55,0,77,0,8,4,22,70,48,3
53,-3,78,0,54,0,25,24,0,0
42,-5,82,0,42,0,40,41,0,0
45,2,86,-4,44,0,40,42,2,0
54,1,84,0,54,0,31,30,0,0
37,0,77,0,26,-5,41,52,10,0
37,0,78,0,10,-1,41,68,26,0
85,0,88,0,6,11,3,83,80,4
37,0,77,0,20,-18,40,56,16,0
37,0,82,2,36,0,45,46,0,0
56,0,78,0,10,20,22,68,46,3
37,0,90,0,34,22,53,57,4,0
46,0,76,-6,46,0,30,30,0,0
49,-2,77,0,50,-1,28,28,0,0
43,0,81,-1,44,25,37,37,0,0
55,-4,96,0,52,13,41,44,4,3
37,0,79,2,-6,0,42,86,44,0
41,0,79,0,42,2,38,37,0,0
38,0,80,0,36,-30,42,44,2,0
37,0,106,1,24,-1,68,82,14,0
37,-1,79,-4,20,-8,43,59,16,0
37,0,96,0,18,17,59,78,18,0
37,0,79,0,10,0,43,69,26,0
43,0,81,-1,42,-11,38,40,2,0
51,0,80,0,52,11,29,28,0,0
37,0,76,0,20,-22,40,55,16,0
106,-2,107,-3,72,0,1,35,34,4
40,0,86,0,38,0,46,47,2,0
46,0,81,0,44,-4,35,37,2,0
56,0,97,0,50,6,41,48,6,3
40,0,77,-7,38,0,38,39,2,0
42,1,93,0,42,0,52,52,0,0
37,1,76,-1,20,0,39,55,16,0
43,-1,87,0,44,19,44,43,0,0
44,0,88,3,42,-24,44,46,2,0
37,0,82,-2,36,-10,45,46,2,0
51,-3,86,0,50,-17,35,37,2,0
40,1,76,0,38,0,36,37,2,0
51,-4,87,0,52,6,36,35,0,0
37,0,81,0,18,-2,44,63,18,0
80,1,84,5,-40,7,5,126,122,4
55,-2,77,0,26,-12,22,52,30,3
84,2,87,-1,0,0,3,87,84,4
55,3,81,-1,54,0,26,26,0,0
55,0,92,0,8,0,37,84,48,3
51,0,84,0,50,-24,33,35,2,0
37,0,94,0,10,15,57,84,28,0
106,3,108,0,70,0,1,38,36,4
42,0,81,0,42,0,38,39,2,0
37,0,77,-1,24,-17,40,54,14,0
47,-4,80,0,46,0,33,34,0,0
37,0,81,0,28,-19,45,53,8,0
51,0,84,0,52,28,34,33,0,0
37,0,78,0,34,-6,41,45,4,0
37,0,81,0,36,5,43,44,2,0
50,5,81,0,50,0,30,32,2,0
37,0,81,0,16,5,44,65,22,0
53,0,79,0,52,-21,26,27,2,0
53,2,81,0,54,1,27,26,0,0
79,0,83,0,-46,-1,4,130,126,4
37,0,96,-2,36,0,59,60,2,0
56,-1,97,0,44,-5,41,53,12,3
37,0,97,0,28,-27,60,69,8,0
37,0,76,0,18,-11,40,58,18,0
46,5,86,0,46,0,40,40,0,0
51,0,91,0,52,26,40,39,0,0
41,0,86,0,38,-23,46,48,2,0
45,0,88,0,46,2,42,41,0,0
45,0,84,1,44,-13,39,41,2,0
44,0,90,-4,44,6,46,46,0,0
44,0,86,4,44,0,42,42,0,0
56,3,97,0,38,0,41,58,18,3
42,0,86,1,42,0,44,44,0,0
53,2,85,0,54,1,32,31,0,0
56,-1,97,-3,50,-4,41,48,6,3
56,0,77,0,-18,4,21,95,74,3
46,1,80,0,44,-18,34,36,2,0
53,2,86,0,54,0,32,32,0,0
